0.0379	2.9843	0	0	0.0379	2.9843	0	2.75	0	1
0.144907	2.88161	0.183444	0.683913	0.139991	2.84906	-0.022	3.0991	-0.1097	0.994
0.13841	3.58513	-0.030348	1.57828	0.1368	3.6467	-0.0938	3.4924	-0.2334	0.9724
-0.171188	3.94579	-0.820709	0.763746	-0.17007	3.88007	-0.2143	3.8735	-0.3535	0.9354
-0.511392	4.36694	-0.854979	1.09111	-0.5125	4.3888	-0.3817	4.2365	-0.4679	0.8838
-0.746845	4.64229	-0.676998	1.24034	-0.680395	4.2758	-0.5932	4.5757	-0.575	0.8181
-0.859583	4.77373	-0.227139	0.203622	-0.8363	4.703	-0.8456	4.8857	-0.673	0.7396
-1.06391	4.97805	-0.539105	0.577433	-1.08162	5.00578	-1.1348	5.1616	-0.7604	0.6494
-1.49978	5.42055	-1.14007	1.18351	-1.5267	5.4638	-1.4564	5.3991	-0.8358	0.549
-1.70714	5.71807	-0.527321	0.867033	-1.63504	5.54986	-1.8051	5.5945	-0.898	0.4399
-2.32826	5.74761	-1.51157	0.0354922	-2.3577	5.7049	-2.1756	5.7445	-0.9461	0.3239
-2.64746	5.76401	-0.758643	0.0659974	-2.58533	5.7169	-2.562	5.847	-0.9792	0.2028
-3.14866	6.01724	-1.31153	0.71638	-3.1807	6.0635	-2.9582	5.9002	-0.9969	0.0785
-3.51855	5.91678	-0.833262	-0.430767	-3.47877	5.83115	-3.3579	5.9033	-0.9989	-0.0471
-3.76001	5.7253	-0.602237	-0.503872	-3.7493	5.7175	-3.7549	5.8563	-0.9851	-0.1719
-4.20716	5.52673	-1.03895	-0.657956	-4.32577	5.62225	-4.1429	5.76	-0.9558	-0.294
-4.48701	5.62159	-0.780526	0.259201	-4.4901	5.6675	-4.5157	5.6157	-0.9114	-0.4115
-4.85839	5.31094	-1.07541	-0.692134	-4.74638	5.11225	-4.8675	5.4259	-0.8526	-0.5225
-5.37693	5.0831	-1.31251	-0.540967	-5.3906	5.0951	-5.1927	5.1935	-0.7804	-0.6252
-5.73595	4.73506	-0.564647	-1.14104	-5.83163	4.80612	-5.4863	4.9222	-0.6959	-0.7181
-5.8246	4.51043	-0.269385	-0.609578	-5.8179	4.529	-5.7435	4.6162	-0.6004	-0.7997
-5.928	4.15148	-0.0673693	-1.05592	-6.01552	4.1882	-5.9603	4.2804	-0.4955	-0.8686
-6.1714	3.77079	-0.657523	-0.901465	-6.2067	3.7872	-6.1333	3.92	-0.3827	-0.9239
-6.41049	3.30496	-0.421417	-1.27478	-6.48358	3.32116	-6.2599	3.5408	-0.2639	-0.9646
-6.42717	3.11123	-0.0708349	-0.548557	-6.4161	3.1346	-6.3378	3.1487	-0.1409	-0.99
-6.01806	3.10447	0.656874	0.223589	-5.65434	2.97752	-6.3661	2.75	-0.0157	-0.9999
-6.14557	2.22348	-0.243623	-2.03718	-6.1728	2.149	-6.3441	2.3509	0.1097	-0.994
-6.32979	1.62338	-0.117554	-1.53929	-6.55177	1.70783	-6.2723	1.9576	0.2334	-0.9724
